Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,total_hours_per_year,avg_hours_per_day,presence_days,Overtime,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
28,0,0,1,1,3,0,1,1,6,0,25920,1.0,14,0,5.0,2,5,0,4,1465.6166666666666,6.081396957123098,241,0,4.0,4.0,2.0,3,3
37,0,0,1,1,3,0,1,2,0,0,53460,4.0,11,0,7.0,2,5,0,1,1587.2333333333333,6.6971870604782,237,0,3.0,4.0,4.0,3,3
21,0,0,1,3,2,0,1,1,5,1,42130,1.0,12,3,3.0,3,3,1,0,1500.5833333333333,6.610499265785609,227,0,4.0,3.0,4.0,2,3
37,0,2,1,1,3,2,1,2,2,2,41270,2.0,13,1,15.0,2,5,0,2,2707.516666666667,11.006165311653117,246,1,1.0,4.0,3.0,3,3
35,0,0,0,7,4,0,1,1,7,2,24380,7.0,16,0,10.0,5,7,6,2,1612.85,6.9519396551724135,232,0,2.0,2.0,2.0,2,3
38,0,0,1,8,3,0,0,1,8,2,68700,1.0,11,1,8.0,5,8,7,7,2144.85,9.285064935064934,231,1,1.0,1.0,3.0,3,3
26,0,1,1,1,4,1,1,2,5,2,104470,1.0,18,0,6.0,3,6,1,4,1759.1166666666666,7.582399425287356,232,0,3.0,2.0,1.0,3,3
50,0,0,0,8,4,0,1,1,1,2,96670,3.0,23,0,28.0,2,10,1,6,1398.1166666666666,6.000500715307582,233,0,1.0,2.0,2.0,2,4
53,0,0,1,11,4,0,0,2,1,0,21480,3.0,11,0,21.0,2,5,1,3,1947.5166666666667,8.394468390804597,232,1,3.0,3.0,2.0,3,3
42,0,0,1,4,4,0,1,1,6,0,89260,1.0,14,0,10.0,4,20,11,6,1645.3333333333333,6.798898071625344,242,0,2.0,3.0,3.0,1,3
29,0,1,1,16,4,2,1,1,5,1,65130,1.0,11,1,10.0,2,10,0,9,1636.6166666666666,7.084920634920635,231,0,2.0,4.0,2.0,3,3
55,0,0,1,1,4,1,0,1,1,0,67990,3.0,11,0,12.0,2,10,0,8,2254.266666666667,9.353803596127248,241,1,2.0,4.0,3.0,3,3
26,0,1,1,9,3,0,0,1,8,0,162910,1.0,22,0,5.0,3,5,3,3,2621.633333333333,10.969177126917712,239,1,1.0,1.0,3.0,3,4
37,0,0,0,5,1,3,1,1,1,1,27050,1.0,11,0,17.0,2,17,5,7,1792.7666666666667,7.596468926553673,236,0,4.0,4.0,3.0,3,3
44,1,1,1,1,2,2,1,2,1,2,103330,3.0,14,1,19.0,2,1,0,0,2665.4666666666667,10.968998628257888,243,1,4.0,3.0,1.0,2,3
38,0,0,0,2,3,3,0,1,8,2,44480,9.0,12,0,10.0,3,2,1,2,1569.35,6.823260869565217,230,0,4.0,4.0,3.0,2,3
26,1,0,1,4,3,2,1,3,1,2,68540,2.0,11,0,5.0,5,3,0,2,2404.0833333333335,10.101190476190476,238,1,1.0,2.0,3.0,2,3
28,0,0,1,7,3,1,1,1,3,1,96370,1.0,13,0,5.0,6,5,0,2,1621.7833333333333,6.701584022038567,242,0,4.0,4.0,3.0,2,3
49,0,1,1,1,1,2,0,2,1,1,35910,9.0,13,0,22.0,2,3,1,2,2459.3166666666666,10.509900284900285,234,1,3.0,1.0,3.0,3,3
36,0,0,0,5,3,4,1,3,2,1,54050,4.0,14,0,10.0,2,8,7,7,1500.4833333333333,6.1748285322359395,243,0,3.0,2.0,3.0,3,3
31,0,1,1,9,4,2,1,1,2,2,46840,1.0,16,1,2.0,4,2,2,2,1578.8166666666666,6.578402777777778,240,0,4.0,2.0,2.0,3,3
26,1,0,1,8,3,2,1,2,8,1,157870,1.0,12,2,8.0,5,8,7,4,2381.133333333333,10.263505747126436,232,1,4.0,4.0,3.0,3,3
37,0,1,0,9,1,3,1,1,5,0,15140,1.0,14,0,4.0,3,4,1,2,2413.883333333333,9.974724517906335,242,1,2.0,4.0,2.0,3,3
42,0,1,0,2,2,3,1,3,4,0,29560,5.0,13,0,23.0,2,20,4,8,1373.45,5.971521739130435,230,0,3.0,2.0,4.0,3,3
18,1,0,1,1,4,0,1,1,2,1,23350,1.0,14,2,0.0,3,0,0,0,1536.3666666666666,6.76813509544787,227,0,3.0,3.0,3.0,2,3
35,0,0,0,20,2,0,1,1,5,0,51540,0.0,19,0,12.0,2,11,6,9,1835.95,7.6817991631799165,239,0,3.0,2.0,2.0,2,3
36,0,1,1,8,3,1,0,3,2,0,69620,4.0,12,2,4.0,2,1,0,0,1756.0166666666667,7.196789617486338,244,0,3.0,,3.0,2,3
51,0,0,1,2,3,0,1,2,5,2,56750,5.0,13,0,13.0,2,4,1,2,1782.8166666666666,7.58645390070922,235,0,4.0,2.0,3.0,2,3
41,0,0,1,29,1,0,1,1,5,1,23790,1.0,12,0,22.0,6,22,0,4,1680.5,6.944214876033058,242,0,4.0,2.0,3.0,3,3
18,0,0,0,7,3,0,1,1,1,1,38120,1.0,15,0,0.0,3,0,0,0,1680.0666666666666,7.000277777777778,240,0,4.0,3.0,3.0,3,3
28,0,0,1,9,3,2,1,1,7,1,46480,0.0,23,2,9.0,2,8,0,7,1755.1833333333334,7.193374316939891,244,0,2.0,1.0,3.0,2,4
31,0,0,1,8,1,4,1,1,6,0,29360,4.0,12,1,10.0,2,8,7,7,1719.4666666666667,7.164444444444444,240,0,2.0,4.0,2.0,3,3
39,0,0,0,5,4,3,0,2,3,2,21050,0.0,20,0,19.0,3,18,3,7,1792.75,7.628723404255319,235,0,3.0,4.0,2.0,3,4
36,0,2,1,5,4,0,1,1,2,0,85780,7.0,21,0,11.0,4,9,0,8,1854.4333333333334,7.824613220815753,237,0,2.0,2.0,3.0,3,4
32,0,0,0,2,3,3,1,2,5,0,27060,1.0,21,1,13.0,4,13,4,8,1581.3833333333334,6.9664464023494865,227,0,4.0,3.0,2.0,3,4
38,0,0,1,5,2,0,0,3,1,0,63840,3.0,19,2,19.0,4,10,0,1,1572.7333333333333,6.897953216374269,228,0,1.0,2.0,3.0,2,3
58,0,2,1,2,3,0,1,2,6,2,39680,2.0,13,2,12.0,3,5,1,2,2634.733333333333,10.887327823691459,242,1,4.0,3.0,3.0,2,3
31,0,0,1,20,1,4,0,3,1,0,99070,0.0,13,1,6.0,3,5,0,3,2160.766666666667,9.117158931082983,237,1,3.0,4.0,3.0,2,3
31,0,0,0,7,4,3,1,2,2,0,132250,3.0,21,1,9.0,2,2,1,0,1630.7333333333333,6.8231520223152025,239,0,1.0,1.0,3.0,3,4
45,0,1,1,3,1,2,0,1,2,2,35400,1.0,13,0,24.0,6,24,9,11,1724.6,7.307627118644067,236,0,1.0,1.0,3.0,3,3
31,0,0,0,16,4,3,0,2,1,2,28040,0.0,19,2,3.0,0,2,2,2,2099.0833333333335,8.602800546448089,244,1,3.0,4.0,1.0,3,3
33,0,1,1,9,3,0,1,4,4,0,193920,6.0,12,1,12.0,3,10,8,8,1606.05,6.776582278481013,237,0,4.0,2.0,3.0,3,3
39,0,0,0,1,4,0,1,1,2,0,196650,1.0,22,1,21.0,6,21,11,10,2689.4333333333334,10.977278911564627,245,1,3.0,1.0,3.0,3,4
43,0,1,1,7,4,2,1,4,1,1,24390,0.0,15,0,9.0,2,8,1,7,1743.0333333333333,7.67856093979442,227,0,3.0,4.0,3.0,3,3
49,0,0,1,1,3,0,1,3,6,1,73140,7.0,22,0,25.0,2,7,0,7,2415.65,9.940946502057614,243,1,3.0,3.0,3.0,3,4
52,1,0,1,7,1,0,0,2,1,0,47740,2.0,18,1,11.0,2,8,7,7,1887.5166666666667,7.897559274755928,239,0,3.0,2.0,2.0,3,3
27,0,0,1,15,4,2,1,3,1,1,39020,1.0,22,0,4.0,2,4,1,2,2602.116666666667,10.66441256830601,244,1,3.0,2.0,2.0,3,4
32,0,0,1,1,3,0,1,3,1,0,26620,1.0,11,1,13.0,6,13,11,9,2506.7,10.48828451882845,239,1,3.0,2.0,3.0,4,3
27,0,0,1,13,2,2,0,4,4,1,28560,1.0,12,2,5.0,5,5,0,4,2324.0833333333335,10.060966810966812,231,1,4.0,3.0,3.0,4,3
31,0,0,0,24,3,0,1,2,0,2,10810,4.0,11,3,13.0,4,7,1,7,1603.5166666666667,6.598834019204389,243,0,4.0,4.0,3.0,4,3
32,0,0,1,7,3,4,1,2,0,1,24720,7.0,13,0,10.0,2,7,0,7,1775.0333333333333,7.489592123769339,237,0,1.0,4.0,2.0,3,3
28,1,0,1,9,4,2,1,1,2,0,56730,5.0,14,1,5.0,4,3,2,2,2647.616666666667,10.719095816464238,247,1,1.0,4.0,2.0,2,3
30,0,0,1,13,3,0,0,4,4,0,41970,1.0,13,0,11.0,3,10,1,9,1433.0333333333333,6.176867816091954,232,0,4.0,4.0,3.0,3,3
31,0,1,1,2,1,0,0,1,8,0,97130,1.0,17,0,10.0,5,10,8,9,1498.4333333333334,6.6010279001468435,227,0,3.0,3.0,3.0,2,3
39,0,1,1,19,4,2,0,1,1,0,20620,1.0,13,0,21.0,4,21,13,3,1383.3833333333334,6.067470760233919,228,0,3.0,4.0,3.0,3,3
39,1,0,1,1,1,2,0,1,5,0,42840,4.0,17,1,12.0,0,1,0,0,2451.0833333333335,9.963753387533876,246,1,4.0,3.0,2.0,3,3
33,0,1,0,4,2,0,1,4,1,1,47880,3.0,11,1,9.0,0,7,0,1,1794.0,7.413223140495868,242,0,2.0,4.0,2.0,3,3
47,0,0,1,4,3,0,0,2,0,0,59060,4.0,23,0,21.0,4,3,1,1,1575.9666666666667,6.485459533607682,243,0,4.0,3.0,3.0,4,4
43,0,1,1,14,3,2,0,5,4,2,38860,1.0,17,2,9.0,2,9,0,0,1478.4833333333333,6.291418439716312,235,0,3.0,3.0,4.0,3,3
27,0,2,1,2,3,0,1,1,4,0,168230,0.0,17,0,6.0,3,5,1,4,2150.4166666666665,9.309163059163058,231,1,3.0,2.0,3.0,3,3
54,0,1,1,1,4,0,1,2,1,1,29330,3.0,12,2,20.0,2,4,0,3,1412.8833333333334,6.090014367816092,232,0,4.0,3.0,2.0,3,3
43,0,0,1,7,2,0,0,2,8,0,65000,8.0,23,0,10.0,3,1,0,0,1715.8166666666666,7.209313725490196,238,0,3.0,1.0,2.0,3,4
45,0,0,0,3,1,3,0,1,2,0,171740,9.0,14,1,12.0,6,10,9,8,1716.25,7.091942148760331,242,0,4.0,4.0,3.0,3,3
40,0,0,1,2,4,1,1,4,1,0,50330,2.0,14,2,6.0,6,4,0,2,2288.266666666667,9.905916305916307,231,1,2.0,4.0,2.0,3,3
29,1,0,1,29,3,2,0,1,1,0,23070,1.0,13,1,7.0,0,7,0,7,2407.9,10.46913043478261,230,1,2.0,1.0,2.0,3,3
29,0,0,2,8,3,2,1,3,7,1,25870,0.0,22,2,4.0,3,3,2,2,1648.8,6.898744769874477,239,0,2.0,4.0,3.0,3,4
30,0,0,1,10,3,0,1,2,1,2,55070,1.0,12,2,10.0,2,10,1,2,1758.7833333333333,7.580962643678161,232,0,4.0,3.0,3.0,2,3
27,0,0,1,11,2,2,1,1,8,0,43930,1.0,18,1,8.0,2,8,0,7,1481.4333333333334,6.071448087431694,244,0,2.0,2.0,3.0,2,3
37,0,0,0,1,4,0,1,2,0,2,133480,7.0,14,0,8.0,4,6,0,4,1414.25,5.992584745762712,236,0,4.0,4.0,2.0,3,3
38,0,0,1,28,4,2,1,1,5,2,65830,0.0,12,0,12.0,1,11,2,9,2172.016666666667,8.975275482093664,242,1,3.0,4.0,3.0,3,3
31,0,0,1,6,3,2,0,3,8,1,81030,1.0,15,1,11.0,5,11,4,10,2479.383333333333,10.417577030812325,238,1,3.0,4.0,,3,3
29,0,0,1,3,4,0,1,3,2,2,39780,1.0,11,0,7.0,0,7,1,7,2044.5166666666667,8.379166666666666,244,1,4.0,2.0,3.0,3,3
35,0,0,0,16,2,4,1,3,8,1,25440,0.0,13,1,17.0,3,16,0,13,1841.6,7.903862660944205,233,0,3.0,2.0,3.0,4,3
23,0,0,1,20,4,0,1,1,6,2,53990,1.0,23,0,4.0,2,4,0,2,1682.1666666666667,7.09774964838256,237,0,3.0,4.0,2.0,2,4
41,0,0,1,9,2,0,0,1,5,1,54870,6.0,19,2,8.0,0,5,1,2,2313.733333333333,9.68089260808926,239,1,4.0,2.0,3.0,3,3
47,0,1,0,1,3,2,0,2,5,1,68340,3.0,16,1,5.0,2,0,0,0,1855.25,7.76255230125523,239,0,2.0,3.0,3.0,4,3
42,0,0,1,3,4,0,1,1,8,1,10910,2.0,22,0,16.0,0,1,0,0,1487.3833333333334,6.275879043600563,237,0,1.0,4.0,3.0,1,4
29,0,2,0,22,4,3,1,2,3,0,57360,1.0,22,0,4.0,1,4,0,2,1467.3666666666666,6.297711015736766,233,0,4.0,3.0,2.0,2,4
42,0,0,0,7,4,2,1,3,1,2,22260,0.0,12,1,4.0,3,3,1,0,2011.7833333333333,8.823611111111111,228,1,3.0,3.0,3.0,2,3
32,0,0,1,2,3,2,1,2,1,0,57470,1.0,13,0,8.0,0,8,0,7,1781.9333333333334,7.713997113997114,231,0,3.0,2.0,3.0,3,3
48,0,0,0,13,4,2,1,4,2,0,98540,3.0,16,1,15.0,2,0,0,0,1703.1333333333334,7.309585121602289,233,0,1.0,3.0,1.0,2,3
37,0,0,1,8,5,4,1,2,6,2,54670,4.0,12,0,13.0,2,7,6,7,2665.1833333333334,10.790215924426452,247,1,3.0,1.0,3.0,3,3
30,0,2,0,25,4,1,1,1,0,0,53800,7.0,21,1,4.0,0,2,2,2,2546.266666666667,10.392925170068029,245,1,4.0,3.0,4.0,3,4
26,0,0,0,28,3,2,0,5,5,0,51510,1.0,15,3,8.0,3,8,7,7,1454.7166666666667,5.986488340192044,243,0,3.0,3.0,3.0,3,3
42,0,0,0,2,2,2,0,1,5,1,21330,3.0,13,2,14.0,2,1,0,0,1459.0333333333333,6.104741980474198,239,0,1.0,4.0,3.0,3,3
21,1,1,1,9,3,2,0,4,6,1,178750,1.0,12,0,3.0,5,3,1,2,1982.6,8.125409836065574,244,1,1.0,2.0,3.0,2,3
36,0,2,2,28,3,5,1,2,5,1,24320,4.0,22,0,7.0,4,1,0,0,1693.3166666666666,7.298778735632184,232,0,4.0,4.0,3.0,1,4
36,0,1,1,6,3,0,0,2,1,0,47710,4.0,13,1,16.0,2,13,1,12,1689.0,7.0966386554621845,238,0,1.0,4.0,3.0,3,3
57,0,0,1,21,4,0,1,5,1,0,191610,2.0,18,0,15.0,2,3,1,2,1485.0,6.319148936170213,235,0,4.0,3.0,3.0,1,3
40,0,0,1,8,3,1,1,2,2,0,50870,3.0,14,1,10.0,3,7,1,7,1891.9833333333333,8.120100143061517,233,1,4.0,3.0,3.0,3,3
21,0,2,1,1,5,0,0,2,8,1,28630,1.0,14,0,3.0,2,3,2,2,1826.9666666666667,7.97802037845706,229,0,1.0,4.0,2.0,1,3
33,1,0,2,28,2,5,0,5,8,1,55610,1.0,21,1,1.0,3,1,0,0,2425.733333333333,10.5010101010101,231,1,4.0,3.0,3.0,1,4
37,0,0,1,5,3,0,1,4,1,0,21440,6.0,19,0,17.0,3,5,0,3,1844.65,7.985497835497836,231,0,3.0,1.0,3.0,4,3
46,0,2,0,2,4,3,0,2,5,0,30650,2.0,11,0,7.0,3,1,0,0,1389.6333333333334,6.094883040935673,228,0,3.0,3.0,4.0,3,3
41,1,1,1,16,1,2,0,1,1,1,28100,1.0,11,0,8.0,3,8,7,7,1765.9166666666667,7.579041487839771,233,0,1.0,2.0,3.0,4,3
50,0,0,1,9,3,2,0,3,5,1,98880,6.0,15,0,20.0,2,4,1,3,1582.85,6.88195652173913,230,0,4.0,4.0,3.0,3,3
40,1,0,1,8,3,2,0,1,0,0,86280,2.0,20,0,8.0,2,6,1,0,2173.3166666666666,9.287678062678063,234,1,3.0,3.0,3.0,2,4
31,0,0,1,1,3,0,1,4,3,1,28670,0.0,24,0,3.0,5,2,2,2,2656.2166666666667,10.797628726287263,246,1,,2.0,3.0,3,4
21,1,0,2,10,2,5,1,1,5,1,53730,1.0,12,1,1.0,2,1,0,0,1377.0,5.98695652173913,230,0,3.0,2.0,3.0,3,3
29,0,0,1,1,3,0,0,2,4,1,66670,9.0,12,1,6.0,6,3,1,2,1906.1666666666667,7.780272108843538,245,0,4.0,4.0,3.0,4,3
35,0,0,1,29,3,0,0,3,2,1,50030,9.0,15,0,10.0,2,1,0,0,1819.4833333333333,7.709675141242938,236,0,3.0,2.0,3.0,3,3
27,0,0,0,2,3,0,1,1,2,2,23670,2.0,12,1,5.0,2,5,0,4,1446.5833333333333,6.1819800569800565,234,0,4.0,2.0,3.0,3,3
28,0,0,1,2,2,2,1,3,8,1,28580,1.0,12,0,7.0,2,7,0,7,1650.0333333333333,7.112212643678161,232,0,2.0,4.0,3.0,2,3
49,0,0,0,2,3,4,1,2,6,1,52040,8.0,14,1,26.0,3,5,0,0,1876.2,7.8175,240,0,2.0,3.0,3.0,3,3
51,0,0,1,1,2,0,1,1,2,0,41050,4.0,22,1,18.0,2,7,0,7,1735.35,7.611184210526315,228,0,3.0,4.0,2.0,3,4
36,0,0,0,15,2,0,1,1,2,0,96790,4.0,12,0,6.0,1,2,2,2,1402.8,5.994871794871795,234,0,4.0,3.0,3.0,3,3
34,1,2,1,7,3,0,1,1,7,1,56170,8.0,25,1,9.0,3,5,0,4,2139.75,9.10531914893617,235,1,1.0,4.0,2.0,3,4
55,0,0,0,26,3,3,1,1,5,1,104480,2.0,13,0,30.0,3,5,1,2,2047.4833333333333,8.675776836158192,236,1,3.0,4.0,3.0,3,3
24,0,0,1,1,3,0,0,5,8,2,28970,1.0,18,3,5.0,4,5,0,3,2296.633333333333,9.98536231884058,230,1,4.0,3.0,4.0,3,3
30,0,0,1,3,3,0,0,2,8,0,59680,1.0,13,0,1.0,3,1,0,0,1592.05,6.891991341991342,231,0,3.0,2.0,3.0,3,3
26,1,1,0,14,3,0,1,2,8,1,75100,0.0,18,3,7.0,3,6,0,4,1677.8,6.990833333333333,240,0,3.0,,3.0,3,3
22,0,0,1,16,5,1,1,1,1,0,29910,1.0,19,2,2.0,3,2,1,2,1450.2833333333333,6.278282828282828,231,0,1.0,2.0,3.0,2,3
36,0,0,1,1,3,2,0,5,0,0,196360,1.0,12,1,10.0,3,10,9,0,1500.6333333333334,6.35861581920904,236,0,2.0,3.0,3.0,3,3
30,1,1,0,3,2,3,1,3,1,1,11290,9.0,19,0,3.0,2,1,0,0,1964.0833333333333,8.183680555555556,240,1,3.0,4.0,3.0,2,3
37,0,0,1,10,1,4,1,1,2,2,133410,1.0,14,1,18.0,3,18,12,17,1546.5166666666667,6.443819444444444,240,0,4.0,1.0,2.0,3,3
40,0,0,1,6,2,2,1,3,1,2,43320,7.0,14,2,8.0,3,5,1,3,1535.2666666666667,6.675072463768116,230,0,4.0,2.0,3.0,2,3
42,0,0,1,2,3,2,0,4,8,2,110310,3.0,12,1,8.0,2,5,1,2,1756.3166666666666,7.473687943262411,235,0,2.0,1.0,3.0,2,3
37,0,0,0,9,1,3,1,3,2,1,44400,2.0,11,1,18.0,3,1,0,1,2428.45,9.91204081632653,245,1,3.0,2.0,2.0,2,3
43,0,0,0,10,2,0,0,1,2,2,46170,1.0,11,0,25.0,2,25,3,9,1740.6666666666667,7.4070921985815605,235,0,1.0,2.0,3.0,3,3
40,0,0,0,6,2,0,0,1,5,0,26470,6.0,13,0,20.0,2,1,0,0,1781.7833333333333,7.486484593837535,238,0,2.0,3.0,3.0,2,3
54,0,0,2,9,3,0,0,2,6,0,63230,4.0,23,1,24.0,2,4,1,2,1359.9166666666667,5.990822320117474,227,0,1.0,1.0,2.0,2,4
34,0,2,1,28,3,2,1,1,5,0,56770,9.0,20,1,6.0,3,3,1,2,1603.2666666666667,6.8515669515669515,234,0,3.0,3.0,3.0,3,4
31,0,0,1,10,4,0,1,3,2,0,21870,1.0,15,1,13.0,2,13,3,12,1420.6833333333334,6.123635057471264,232,0,2.0,1.0,1.0,2,3
43,0,1,0,14,3,0,0,1,6,0,37480,7.0,14,2,10.0,3,3,1,2,1740.2833333333333,7.666446402349486,227,0,4.0,4.0,3.0,2,3
43,0,0,0,27,4,0,1,2,7,2,39770,4.0,18,1,8.0,3,5,0,2,2111.266666666667,8.870868347338936,238,1,3.0,3.0,3.0,3,3
25,0,0,2,7,2,5,1,1,6,1,86330,1.0,19,1,5.0,2,5,1,3,2525.95,10.887715517241379,232,1,2.0,4.0,3.0,4,3
37,0,2,1,1,3,2,1,3,5,0,20080,3.0,22,0,15.0,5,13,10,7,2489.2166666666667,10.683333333333334,233,1,2.0,3.0,3.0,2,4
31,0,0,1,24,1,2,1,3,5,0,44400,1.0,13,1,4.0,2,4,3,2,1636.1333333333334,7.052298850574713,232,0,4.0,1.0,3.0,3,3
39,0,1,1,26,4,4,0,1,2,2,30670,1.0,20,1,21.0,5,21,1,6,2205.2,9.000816326530611,245,1,2.0,3.0,3.0,1,4
56,0,1,1,20,4,0,0,3,2,0,53210,9.0,14,0,36.0,1,7,7,7,1771.5666666666666,7.412412831241283,239,0,3.0,1.0,2.0,3,3
30,0,0,0,5,4,2,0,2,6,1,54100,0.0,17,1,6.0,2,5,4,4,1856.5333333333333,7.577687074829932,245,0,2.0,3.0,3.0,3,3
41,0,0,1,7,3,4,0,3,1,0,27820,1.0,14,0,10.0,2,10,0,7,1594.65,6.6168049792531125,241,0,2.0,1.0,3.0,2,3
28,0,0,1,7,3,2,1,3,0,2,119570,1.0,13,0,10.0,2,10,1,8,1459.45,6.184110169491525,236,0,3.0,1.0,3.0,2,3
25,1,0,1,5,2,0,0,3,5,0,26600,5.0,13,0,6.0,3,2,0,2,1525.4833333333333,6.4639124293785315,236,0,1.0,1.0,3.0,3,3
52,0,0,1,26,2,0,0,2,7,0,33750,2.0,21,0,28.0,2,5,0,4,1989.4666666666667,8.187105624142662,243,1,4.0,3.0,3.0,2,4
45,0,0,1,2,3,2,0,1,2,0,50980,3.0,14,1,8.0,4,2,0,2,1606.7833333333333,6.779676511954992,237,0,1.0,4.0,2.0,3,3
52,0,0,1,12,3,2,1,2,1,0,48780,2.0,11,1,31.0,3,5,1,4,1714.2,7.2944680851063834,235,0,4.0,4.0,1.0,3,3
42,0,1,0,10,3,3,0,2,0,2,28370,2.0,13,1,19.0,0,5,0,2,1587.7166666666667,6.814234620886982,233,0,1.0,3.0,3.0,2,3
30,0,0,0,25,3,3,1,1,2,1,24060,2.0,20,1,11.0,5,5,0,2,1682.25,7.314130434782609,230,0,3.0,4.0,3.0,3,4
60,0,0,1,10,3,0,0,1,6,0,22690,5.0,18,1,33.0,4,29,11,10,1428.3833333333334,6.156824712643679,232,0,1.0,1.0,1.0,3,3
46,0,0,0,19,4,3,0,1,2,2,41080,2.0,14,0,19.0,5,10,0,8,1801.6666666666667,7.6019690576652605,237,0,3.0,3.0,2.0,2,3
42,0,1,1,18,4,4,1,4,2,0,132060,0.0,13,2,7.0,2,6,0,4,1567.6666666666667,6.586834733893558,238,0,4.0,4.0,4.0,3,3
24,1,0,1,27,2,2,1,1,1,1,104220,1.0,17,1,6.0,0,5,1,4,2511.116666666667,10.640324858757063,236,1,1.0,2.0,3.0,2,3
34,1,1,1,5,3,2,1,2,1,2,137440,0.0,20,1,3.0,3,2,1,0,1406.55,6.19625550660793,227,0,4.0,3.0,2.0,3,4
38,0,1,0,3,3,3,0,2,2,0,49070,1.0,11,1,1.0,3,1,0,0,2034.4333333333334,8.584106891701829,237,1,4.0,4.0,3.0,3,3
40,0,0,0,26,4,3,0,1,2,0,34820,0.0,18,1,21.0,2,20,1,12,1378.4333333333334,5.993188405797102,230,0,3.0,3.0,3.0,2,3
26,0,0,1,3,2,2,0,4,0,2,24360,1.0,24,0,3.0,2,3,0,2,1424.0833333333333,6.273494860499265,227,0,1.0,4.0,1.0,4,4
30,0,2,1,15,3,2,0,2,2,0,23800,4.0,18,3,9.0,2,5,1,4,1847.8833333333334,7.8969373219373225,234,0,3.0,4.0,1.0,2,3
29,0,0,1,8,3,2,0,3,6,0,194310,1.0,11,0,10.0,3,10,0,7,1734.55,7.167561983471074,242,0,2.0,3.0,3.0,3,3
29,1,0,1,19,4,0,1,3,1,0,17900,5.0,16,1,6.0,4,2,1,1,1574.4833333333333,6.64338959212377,237,0,3.0,2.0,4.0,2,3
19,1,0,1,4,3,2,1,1,2,1,76440,1.0,15,2,1.0,2,1,0,0,1848.1,7.897863247863247,234,0,1.0,4.0,4.0,3,3
30,0,2,1,2,4,0,0,3,1,0,51310,0.0,15,1,10.0,2,9,7,8,1603.8333333333333,6.710599721059972,239,0,3.0,1.0,3.0,3,3
57,0,0,1,2,2,0,1,4,1,2,63060,3.0,12,1,32.0,3,1,0,0,1451.1166666666666,6.281890331890332,231,0,1.0,4.0,2.0,3,3
